DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
14,19,R6,CELAYA,,30_327_4_03,438_56_427902,204,102,51,51,17,3,0,-100
4,19,R6,CELAYA,,30_327_16_03,438_56_494902,424,212,106,106,35.33333333,4,0,-100
4,19,R6,CELAYA,,30_327_16_03,438_56_495902,818,409,204.5,204.5,68.16666667,6,0,-100
4,19,R6,CELAYA,,30_327_18_03,438_56_496902,360,180,90,90,30,0,0,0
4,19,R6,CELAYA,,30_327_16_03,438_56_497902,872,436,218,218,72.66666667,8,0,-100
4,19,R6,CELAYA,,30_327_16_03,438_56_498902,606,303,151.5,151.5,50.5,2,0,-100
4,19,R6,CELAYA,,30_327_16_03,438_56_499902,802,401,200.5,200.5,66.83333333,6,0,-100
4,20,R6,COMONFORT,,30_329_2_03,438_56_628902,292,146,73,73,24.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_629902,338,169,84.5,84.5,28.16666667,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_630902,868,434,217,217,72.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_631902,498,249,124.5,124.5,41.5,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_632902,410,205,102.5,102.5,34.16666667,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_633902,344,172,86,86,28.66666667,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_634902,378,189,94.5,94.5,31.5,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_635902,320,160,80,80,26.66666667,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_636902,544,272,136,136,45.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_637902,828,414,207,207,69,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_638902,1044,522,261,261,87,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_639902,460,230,115,115,38.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_640902,312,156,78,78,26,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_641902,1096,548,274,274,91.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_2_03,438_56_642902,406,203,101.5,101.5,33.83333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_643902,506,253,126.5,126.5,42.16666667,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_644902,316,158,79,79,26.33333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_645902,1030,515,257.5,257.5,85.83333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_646902,542,271,135.5,135.5,45.16666667,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_647902,270,135,67.5,67.5,22.5,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_648902,476,238,119,119,39.66666667,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_649902,514,257,128.5,128.5,42.83333333,0,0,0
4,20,R6,COMONFORT,,30_329_3_03,438_56_650902,886,443,221.5,221.5,73.83333333,0,0,0
